"id","created_at","name","has_test","alternate_url"
"117666474","2025-02-25T09:35:51+0300","Стажер, Data Analyst / Data Scientist",false,"https://hh.ru/vacancy/117666474"
"114020524","2025-02-26T08:30:52+0300","Junior Data Scientist/MLE",false,"https://hh.ru/vacancy/114020524"
"117766611","2025-02-27T08:07:16+0300","Junior Data Scientist, Speech, Machine Learning",false,"https://hh.ru/vacancy/117766611"
"117883709","2025-03-03T11:19:58+0300","Data Scientist",false,"https://hh.ru/vacancy/117883709"
"117885485","2025-03-03T11:38:29+0300","Аналитик данных (Data Analyst)",false,"https://hh.ru/vacancy/117885485"
"117936687","2025-03-04T11:39:41+0300","Head of Analytics / Руководитель отдела аналитики",false,"https://hh.ru/vacancy/117936687"
"118120894","2025-03-10T11:25:57+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/118120894"
"118376335","2025-03-15T18:32:59+0300","Data Scientist",false,"https://hh.ru/vacancy/118376335"
"118400643","2025-03-16T21:07:30+0300","Junior Data Analyst",false,"https://hh.ru/vacancy/118400643"
"118421806","2025-03-17T10:20:08+0300","Data-scientist junior level",false,"https://hh.ru/vacancy/118421806"
"118455456","2025-03-17T15:05:48+0300","Data Scientist",false,"https://hh.ru/vacancy/118455456"
"118549567","2025-03-19T12:01:38+0300","Стажер - Data Scientist",false,"https://hh.ru/vacancy/118549567"
"118570463","2025-03-19T17:30:23+0300","Младший специалист по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/118570463"
"118596264","2025-03-20T12:05:21+0300","Data Scientist Junior+",false,"https://hh.ru/vacancy/118596264"
"118619535","2025-03-20T17:31:49+0300","Senior HCP Lead / Senior Product Manager",false,"https://hh.ru/vacancy/118619535"
"118509308","2025-03-21T14:53:15+0300","Data Scientist в области языковых моделей (Junior)",false,"https://hh.ru/vacancy/118509308"
"118524897","2025-03-21T20:14:09+0300","Junior Data Scientist / Machine Learning Engineer",false,"https://hh.ru/vacancy/118524897"
"118070331","2025-03-22T11:42:54+0300","Data Scientist / Intern / Junior",false,"https://hh.ru/vacancy/118070331"
"118592034","2025-03-23T11:03:30+0300","Data Scientist CV",false,"https://hh.ru/vacancy/118592034"
"117558942","2025-03-23T12:24:59+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/117558942"
