id,created_at,name,has_test,alternate_url
117666474.0,2025-02-25T09:35:51+03:00,-,False,https://hh.ru/vacancy/117666474
114020524.0,2025-02-26T08:30:52+03:00,Junior,False,https://hh.ru/vacancy/114020524
117766611.0,2025-02-27T08:07:16+03:00,Junior,False,https://hh.ru/vacancy/117766611
117883709.0,2025-03-03T11:19:58+03:00,-,False,https://hh.ru/vacancy/117883709
117885485.0,2025-03-03T11:38:29+03:00,-,False,https://hh.ru/vacancy/117885485
117936687.0,2025-03-04T11:39:41+03:00,-,False,https://hh.ru/vacancy/117936687
118120894.0,2025-03-10T11:25:57+03:00,Junior,False,https://hh.ru/vacancy/118120894
118376335.0,2025-03-15T18:32:59+03:00,-,False,https://hh.ru/vacancy/118376335
118400643.0,2025-03-16T21:07:30+03:00,Junior,False,https://hh.ru/vacancy/118400643
118421806.0,2025-03-17T10:20:08+03:00,-,False,https://hh.ru/vacancy/118421806
118455456.0,2025-03-17T15:05:48+03:00,-,False,https://hh.ru/vacancy/118455456
118549567.0,2025-03-19T12:01:38+03:00,-,False,https://hh.ru/vacancy/118549567
118570463.0,2025-03-19T17:30:23+03:00,Junior,False,https://hh.ru/vacancy/118570463
118596264.0,2025-03-20T12:05:21+03:00,Junior,False,https://hh.ru/vacancy/118596264
118619535.0,2025-03-20T17:31:49+03:00,Senior,False,https://hh.ru/vacancy/118619535
118509308.0,2025-03-21T14:53:15+03:00,Junior,False,https://hh.ru/vacancy/118509308
118524897.0,2025-03-21T20:14:09+03:00,Junior,False,https://hh.ru/vacancy/118524897
118070331.0,2025-03-22T11:42:54+03:00,Junior,False,https://hh.ru/vacancy/118070331
118592034.0,2025-03-23T11:03:30+03:00,-,False,https://hh.ru/vacancy/118592034
117558942.0,2025-03-23T12:24:59+03:00,Junior,False,https://hh.ru/vacancy/117558942
